,Tweets,id,len,date,source,likes,retweets
0,The ONLY reason we were able to get our great USMCA Trade Deal approved was because the Do Nothing Democrats wanted… https://t.co/R0mQT4RD72,1209465106364555264,140,2019-12-24 13:25:26,Twitter for iPhone,24846,6388
1,"....the American public’s tone deafness - &amp; it should be intolerable, because the American people have had it with… https://t.co/BUPgjR8KTE",1209462723328782336,143,2019-12-24 13:15:58,Twitter for iPhone,15330,3989
2,“The Dems are complicating matters again. Keeping Mueller out of it was the focus. Keeping it crisp &amp; simple was th… https://t.co/ZKg4Ka1XZ2,1209462718899638273,144,2019-12-24 13:15:57,Twitter for iPhone,18600,4934
3,"“The Trump Administration, Trump policies, have put our economy on a trajectory it has never been on before.” Griff Jenkins, @foxandfriends",1209449029672873985,139,2019-12-24 12:21:33,Twitter for iPhone,25781,6147
4,“Stocks kick off Christmas week at All-Time Record Highs.” @foxandfriends,1209447572546424832,73,2019-12-24 12:15:46,Twitter for iPhone,24342,5544
5,"....mount some kind of public pressure to demand witnesses, but McConnell has the votes and he can run this trial a… https://t.co/wGR5IPqARy",1209446147233845250,140,2019-12-24 12:10:06,Twitter for iPhone,21911,5238
6,Everything we’re seeing from Speaker Pelosi and Senator Schumer suggests that they’re in real doubt about the evide… https://t.co/k7T2o0Sk21,1209446138811764737,140,2019-12-24 12:10:04,Twitter for iPhone,27872,7162
7,"RT @EpochTimes: Over 400 people packed the meeting room, filled the lobby, and spilled into the parking lot in rural Buckingham County, #Vi…",1209335177694109696,140,2019-12-24 04:49:09,Twitter for iPhone,0,6953
8,“The real victims here are the American people and the Constitution. The Constitution has been damaged by this ploy… https://t.co/WQAwbQ3UZM,1209304295365107713,140,2019-12-24 02:46:26,Twitter for iPhone,60713,16667
9,"What the Democrats are doing is “Obstruction of the Senate. It’s wrong Constitutionally, it’s wrong morally, and it… https://t.co/wkYutWOCll",1209300561864142848,140,2019-12-24 02:31:36,Twitter for iPhone,70998,19117
10,"RT @HuckabeeOnTBN: What's the best gift to give your liberal friends?

""Donald Builds the Wall"" by @EricMetaxas.

Why? Watch to find out! 😅…",1209294182608777216,141,2019-12-24 02:06:15,Twitter for iPhone,0,4450
11,"STOCK MARKET CLOSES AT ALL-TIME HIGH! What a great time for the Radical Left, Do Nothing Democrats to Impeach your… https://t.co/G1Un2gXBTj",1209266861436809216,139,2019-12-24 00:17:41,Twitter for iPhone,98195,21840
12,NASDAQ UP 72.2% SINCE OUR GREAT 2016 ELECTION VICTORY! DOW UP 55.8%. The best is yet to come!,1209262137182445569,93,2019-12-23 23:58:55,Twitter for iPhone,70789,16648
13,"RT @LindseyGrahamSC: It’s time for @SpeakerPelosi, who claimed impeachment was a national imperative, to fish or cut bait.  

Commit to sen…",1209260063686299649,140,2019-12-23 23:50:40,Twitter for iPhone,0,11332
14,"RT @LindseyGrahamSC: If she refuses, Senate Republicans should take matters into our own hands.  We are in charge of the Senate — not Pelos…",1209259965812219904,140,2019-12-23 23:50:17,Twitter for iPhone,0,9151
15,"RT @LindseyGrahamSC: This Constitutional outrage by @SpeakerPelosi needs to end.  

She is trying to run the Senate and deny President @rea…",1209259640460066821,140,2019-12-23 23:48:59,Twitter for iPhone,0,13422
16,"RT @LindseyGrahamSC: @SpeakerPelosi @realDonaldTrump If this continues into 2020, the Senate needs to strike back, standing up for our righ…",1209259552794910721,140,2019-12-23 23:48:38,Twitter for iPhone,0,6051
17,"RT @LindseyGrahamSC: @SpeakerPelosi @realDonaldTrump Stop playing games with the Constitution.

In our system, you can’t be the Speaker of…",1209259490794708995,139,2019-12-23 23:48:24,Twitter for iPhone,0,7261
18,I agree 100%! https://t.co/lFUfnLefxT,1209259291217141760,37,2019-12-23 23:47:36,Twitter for iPhone,35469,8350
19,RT @LindseyGrahamSC: This is a giant step forward &amp; great news for the Port of Charleston.  I’m incredibly appreciative of President @reald…,1209258699237285891,144,2019-12-23 23:45:15,Twitter for iPhone,0,4415
